                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1959,                   3.29,                 1.7323,                0.15414,                0.17376,                0.18174,                0.08104,                 1.5024,                 3.2192,                 2.5769,               0.070306,              0.0032993,              0.0032993
                      1,                 1.1466,                 2.3979,                 1.6155,                 0.2873,                0.42858,                0.27319,                0.12356,                 1.7163,                 2.6134,                 2.7001,               0.040175,              0.0065013,              0.0065013
                      2,                  1.167,                 2.1383,                 1.6202,                0.16854,                0.33723,                0.17012,                0.07062,                 2.1092,                 2.9406,                 3.0776,              0.0099115,              0.0095713,              0.0095713
                      3,                 1.1933,                 2.0817,                 1.6524,                0.29941,                0.61844,                0.33119,                0.14407,                 1.7503,                 2.4168,                 2.9153,               0.009406,               0.009406,               0.009406
                      4,                 1.1712,                 1.9159,                 1.6267,                0.27096,                0.54567,                0.31124,                0.14216,                 1.6526,                 2.3518,                 2.6824,               0.009406,               0.009406,               0.009406
                      5,                 1.1796,                 1.8369,                 1.6388,                 0.3564,                0.51384,                  0.415,                 0.1697,                 1.7589,                 2.1214,                 2.8559,               0.009208,               0.009208,               0.009208
                      6,                 1.1291,                 1.7147,                   1.59,                0.39471,                0.51703,                0.43395,                0.21185,                 1.6319,                 2.0213,                 2.7282,                0.00901,                0.00901,                0.00901
                      7,                 1.0899,                 1.6222,                 1.5526,                0.33881,                0.69796,                0.43603,                0.23728,                 1.5745,                 1.7588,                 2.5657,               0.008812,               0.008812,               0.008812
                      8,                 1.0616,                 1.5366,                 1.5249,                0.50964,                0.67463,                0.60655,                0.32108,                 1.5261,                 1.6223,                 2.5455,               0.008614,               0.008614,               0.008614
                      9,                 1.0465,                 1.4746,                 1.5108,                 0.2211,                0.35563,                0.22339,                0.08663,                 2.0353,                 2.6694,                  2.907,               0.008416,               0.008416,               0.008416
                     10,                0.99378,                 1.3965,                 1.4718,                0.48509,                0.64303,                0.61593,                0.32898,                 1.4764,                 1.6075,                 2.3714,               0.008218,               0.008218,               0.008218
                     11,                0.96212,                 1.3114,                 1.4513,                0.54792,                 0.7063,                0.64897,                0.34114,                 1.5517,                 1.5114,                 2.5199,                0.00802,                0.00802,                0.00802
                     12,                0.95943,                 1.2676,                 1.4275,                0.63897,                0.70405,                0.72142,                0.40288,                 1.4748,                 1.2558,                 2.3738,               0.007822,               0.007822,               0.007822
                     13,                0.92844,                 1.2218,                 1.4187,                0.39868,                0.65825,                0.53851,                 0.3192,                 1.3917,                 1.7662,                 2.2911,               0.007624,               0.007624,               0.007624
                     14,                0.91265,                 1.1751,                 1.4007,                0.55259,                0.66128,                0.65987,                0.37699,                 1.4433,                 1.5221,                 2.3673,               0.007426,               0.007426,               0.007426
                     15,                0.89448,                 1.1356,                 1.3906,                0.57457,                0.72618,                0.67989,                0.41103,                 1.3938,                 1.4353,                 2.3386,               0.007228,               0.007228,               0.007228
                     16,                0.88314,                 1.0976,                 1.3747,                0.61539,                0.78617,                0.75519,                0.47584,                 1.3911,                 1.2159,                 2.2867,                0.00703,                0.00703,                0.00703
                     17,                0.88612,                 1.0709,                 1.3766,                0.71925,                0.70084,                0.76046,                 0.4376,                  1.464,                 1.1716,                 2.3609,               0.006832,               0.006832,               0.006832
                     18,                0.85233,                 1.0149,                 1.3583,                0.62636,                0.64938,                0.70882,                0.40586,                 1.3999,                  1.354,                 2.2351,               0.006634,               0.006634,               0.006634
                     19,                0.84586,                 1.0404,                 1.3476,                0.63228,                0.65711,                0.70577,                0.38955,                  1.465,                 1.4438,                 2.3199,               0.006436,               0.006436,               0.006436
                     20,                0.83601,                 1.0016,                 1.3417,                0.75257,                 0.7137,                0.78843,                0.47289,                 1.3932,                 1.0697,                 2.2658,               0.006238,               0.006238,               0.006238
                     21,                0.80723,                0.96332,                 1.3301,                0.72368,                0.78642,                0.79797,                0.48635,                 1.3099,                 1.1241,                 2.1563,                0.00604,                0.00604,                0.00604
                     22,                0.78205,                0.92027,                 1.3021,                0.64321,                0.80117,                0.79729,                  0.491,                 1.3214,                 1.2214,                 2.1531,               0.005842,               0.005842,               0.005842
                     23,                 0.7803,                0.90941,                 1.3027,                0.75432,                0.77832,                0.81719,                0.50975,                 1.2378,                 1.0235,                 2.1063,               0.005644,               0.005644,               0.005644
                     24,                0.75203,                0.85399,                 1.2765,                0.82018,                0.73227,                0.84036,                 0.5205,                 1.3852,                 1.0327,                 2.2817,               0.005446,               0.005446,               0.005446
                     25,                0.75207,                0.85775,                 1.2816,                0.58735,                0.72812,                0.72844,                0.45295,                 1.3018,                 1.4035,                 2.1662,               0.005248,               0.005248,               0.005248
                     26,                0.73376,                0.84078,                 1.2697,                0.62309,                0.63968,                0.68362,                0.38762,                 1.5197,                 1.4997,                 2.3667,                0.00505,                0.00505,                0.00505
                     27,                0.72263,                0.79294,                 1.2613,                0.77213,                0.74791,                0.83401,                0.51783,                 1.3858,                 1.0558,                 2.2408,               0.004852,               0.004852,               0.004852
                     28,                0.72186,                0.79391,                 1.2618,                0.79723,                0.78194,                0.84461,                0.52938,                 1.2894,                 1.0439,                 2.1459,               0.004654,               0.004654,               0.004654
                     29,                0.69819,                0.77139,                 1.2382,                0.74719,                0.73262,                0.81262,                0.49633,                 1.3753,                 1.0873,                 2.2723,               0.004456,               0.004456,               0.004456
                     30,                0.69968,                 0.7591,                 1.2454,                0.79943,                0.81567,                0.86035,                0.56016,                 1.2623,                0.95428,                 2.1161,               0.004258,               0.004258,               0.004258
                     31,                 0.6901,                0.73181,                 1.2291,                0.74498,                0.76155,                0.81297,                0.52361,                 1.2596,                 1.0454,                 2.1231,                0.00406,                0.00406,                0.00406
                     32,                0.66572,                0.72063,                 1.2266,                0.79566,                0.76212,                0.85132,                0.55527,                 1.2769,                0.94081,                 2.1457,               0.003862,               0.003862,               0.003862
                     33,                0.67292,                0.70954,                 1.2278,                0.83691,                0.74597,                0.85026,                0.54395,                 1.2339,                0.98001,                 2.0717,               0.003664,               0.003664,               0.003664
                     34,                 0.6566,                0.69583,                 1.2101,                0.81662,                0.82902,                0.86407,                0.55314,                 1.2611,                0.89664,                 2.0985,               0.003466,               0.003466,               0.003466
                     35,                0.64378,                0.67148,                 1.2002,                0.77917,                0.81487,                 0.8614,                0.56973,                 1.2416,                0.91383,                 2.1078,               0.003268,               0.003268,               0.003268
                     36,                0.62721,                0.66666,                 1.1958,                0.81748,                0.80756,                0.87562,                0.60118,                 1.1661,                0.85171,                 1.9843,                0.00307,                0.00307,                0.00307
                     37,                0.62791,                0.64949,                   1.19,                0.80989,                0.83079,                0.87661,                0.58314,                 1.2107,                0.88637,                 2.0251,               0.002872,               0.002872,               0.002872
                     38,                0.61221,                0.62988,                 1.1861,                0.88331,                0.78857,                0.88024,                0.59595,                 1.1515,                0.86253,                 1.9789,               0.002674,               0.002674,               0.002674
                     39,                0.60197,                 0.6146,                 1.1773,                  0.853,                0.80849,                 0.8906,                0.60228,                 1.1587,                0.84106,                 1.9704,               0.002476,               0.002476,               0.002476
                     40,                0.55044,                0.49732,                 1.2385,                0.87295,                0.80986,                0.88033,                0.58623,                 1.1982,                0.82337,                  2.034,               0.002278,               0.002278,               0.002278
                     41,                0.52147,                0.45733,                 1.1946,                0.84431,                0.78988,                0.87674,                0.60522,                 1.1569,                0.85703,                 1.9956,                0.00208,                0.00208,                0.00208
                     42,                0.50208,                0.40966,                 1.1708,                0.83641,                0.80276,                0.86722,                0.60112,                 1.1516,                0.85904,                 1.9747,               0.001882,               0.001882,               0.001882
                     43,                0.49291,                0.38973,                 1.1482,                0.76861,                0.86496,                0.85899,                0.58652,                 1.1675,                0.95268,                 2.0017,               0.001684,               0.001684,               0.001684
                     44,                0.46294,                0.37519,                 1.1329,                0.83136,                 0.8029,                0.85389,                 0.5912,                 1.1322,                0.87233,                 2.0013,               0.001486,               0.001486,               0.001486
                     45,                 0.4566,                0.36339,                 1.1281,                0.87067,                0.78692,                0.87352,                0.61418,                 1.1297,                0.87227,                 1.9756,               0.001288,               0.001288,               0.001288
                     46,                0.44467,                0.35191,                 1.1125,                0.84137,                0.85363,                0.86885,                0.61081,                 1.1249,                 0.8422,                 1.9896,                0.00109,                0.00109,                0.00109
                     47,                0.42672,                0.33627,                 1.0902,                0.85085,                0.79891,                0.87842,                0.62896,                 1.1191,                 0.8591,                 1.9848,               0.000892,               0.000892,               0.000892
                     48,                0.42057,                0.33164,                 1.0925,                0.83697,                0.84927,                0.89565,                0.63749,                 1.1088,                0.80921,                 1.9821,               0.000694,               0.000694,               0.000694
                     49,                0.40713,                0.31399,                 1.0744,                0.83701,                0.84865,                0.89488,                0.64365,                 1.0843,                0.79641,                 1.9323,               0.000496,               0.000496,               0.000496
